date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:12	48056/48056	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2021:48:58%20GMT	https://themebeyond.com/html/ganic/terms-conditios.html	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/terms-conditios.html	(from https://themebeyond.com/html/ganic/)
22:35:14	159427/159427	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Aug%202021%2022:33:20%20GMT	https://themebeyond.com/html/ganic/img/bg/slider_area_bg.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/bg/slider_area_bg.jpg	(from https://themebeyond.com/html/ganic/)
22:35:15	161348/161348	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Aug%202021%2021:44:58%20GMT	https://themebeyond.com/html/ganic/img/slider/slider_bg01.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/slider/slider_bg01.jpg	(from https://themebeyond.com/html/ganic/)
22:35:15	43842/43842	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Aug%202021%2000:14:12%20GMT	https://themebeyond.com/html/ganic/img/slider/slider_banner01.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/slider/slider_banner01.jpg	(from https://themebeyond.com/html/ganic/)
22:35:16	54843/54843	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Aug%202021%2000:14:30%20GMT	https://themebeyond.com/html/ganic/img/slider/slider_banner02.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/slider/slider_banner02.jpg	(from https://themebeyond.com/html/ganic/)
22:35:17	85299/85299	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Aug%202021%2000:14:44%20GMT	https://themebeyond.com/html/ganic/img/slider/slider_banner03.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/slider/slider_banner03.jpg	(from https://themebeyond.com/html/ganic/)
22:35:18	14229/14229	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Aug%202021%2017:46:28%20GMT	https://themebeyond.com/html/ganic/img/product/category_img01.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/category_img01.png	(from https://themebeyond.com/html/ganic/)
22:35:19	13977/13977	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Aug%202021%2017:46:28%20GMT	https://themebeyond.com/html/ganic/img/product/category_img02.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/category_img02.png	(from https://themebeyond.com/html/ganic/)
22:35:20	16195/16195	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Aug%202021%2017:46:28%20GMT	https://themebeyond.com/html/ganic/img/product/category_img03.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/category_img03.png	(from https://themebeyond.com/html/ganic/)
22:35:21	13262/13262	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Aug%202021%2017:46:28%20GMT	https://themebeyond.com/html/ganic/img/product/category_img04.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/category_img04.png	(from https://themebeyond.com/html/ganic/)
22:35:22	16018/16018	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Aug%202021%2017:46:28%20GMT	https://themebeyond.com/html/ganic/img/product/category_img05.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/category_img05.png	(from https://themebeyond.com/html/ganic/)
22:35:23	18495/18495	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Aug%202021%2017:46:28%20GMT	https://themebeyond.com/html/ganic/img/product/category_img06.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/category_img06.png	(from https://themebeyond.com/html/ganic/)
22:35:24	40944/40944	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Aug%202021%2015:41:30%20GMT	https://themebeyond.com/html/ganic/img/product/discount_img01.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/discount_img01.jpg	(from https://themebeyond.com/html/ganic/)
22:35:25	50476/50476	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Aug%202021%2015:41:30%20GMT	https://themebeyond.com/html/ganic/img/product/discount_img02.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/discount_img02.jpg	(from https://themebeyond.com/html/ganic/)
22:35:26	43135/43135	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Aug%202021%2015:41:30%20GMT	https://themebeyond.com/html/ganic/img/product/discount_img03.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/discount_img03.jpg	(from https://themebeyond.com/html/ganic/)
22:35:27	6440/6440	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2012:18:12%20GMT	https://themebeyond.com/html/ganic/img/product/best_deal_product01.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/best_deal_product01.png	(from https://themebeyond.com/html/ganic/)
22:35:28	12156/12156	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2012:18:10%20GMT	https://themebeyond.com/html/ganic/img/product/best_deal_product02.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/best_deal_product02.png	(from https://themebeyond.com/html/ganic/)
22:35:29	9701/9701	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2012:18:48%20GMT	https://themebeyond.com/html/ganic/img/product/best_deal_product03.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/best_deal_product03.png	(from https://themebeyond.com/html/ganic/)
22:35:30	13670/13670	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2012:18:46%20GMT	https://themebeyond.com/html/ganic/img/product/best_deal_product04.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/best_deal_product04.png	(from https://themebeyond.com/html/ganic/)
22:35:31	15996/15996	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2018:19:22%20GMT	https://themebeyond.com/html/ganic/img/product/best_deal_product05.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/best_deal_product05.png	(from https://themebeyond.com/html/ganic/)
22:35:32	92292/92292	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Aug%202021%2018:07:46%20GMT	https://themebeyond.com/html/ganic/img/product/special_products_add.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/special_products_add.jpg	(from https://themebeyond.com/html/ganic/)
22:35:33	39421/39421	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2018:13:30%20GMT	https://themebeyond.com/html/ganic/img/product/sp_products01.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/sp_products01.png	(from https://themebeyond.com/html/ganic/)
22:35:34	40621/40621	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2018:13:52%20GMT	https://themebeyond.com/html/ganic/img/product/sp_products02.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/sp_products02.png	(from https://themebeyond.com/html/ganic/)
22:35:35	46959/46959	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2018:14:12%20GMT	https://themebeyond.com/html/ganic/img/product/sp_products03.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/sp_products03.png	(from https://themebeyond.com/html/ganic/)
22:35:36	28154/28154	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2018:14:30%20GMT	https://themebeyond.com/html/ganic/img/product/sp_products04.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/sp_products04.png	(from https://themebeyond.com/html/ganic/)
22:35:37	38886/38886	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2018:14:48%20GMT	https://themebeyond.com/html/ganic/img/product/sp_products05.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/sp_products05.png	(from https://themebeyond.com/html/ganic/)
22:35:38	44646/44646	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2018:15:06%20GMT	https://themebeyond.com/html/ganic/img/product/sp_products06.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/sp_products06.png	(from https://themebeyond.com/html/ganic/)
22:35:39	31065/31065	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2018:15:24%20GMT	https://themebeyond.com/html/ganic/img/product/sp_products07.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/sp_products07.png	(from https://themebeyond.com/html/ganic/)
22:35:40	39045/39045	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2018:15:42%20GMT	https://themebeyond.com/html/ganic/img/product/sp_products08.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/sp_products08.png	(from https://themebeyond.com/html/ganic/)
22:35:41	1653/1653	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Aug%202021%2021:23:38%20GMT	https://themebeyond.com/html/ganic/img/images/coupon_code.png	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/images/coupon_code.png	(from https://themebeyond.com/html/ganic/)
